title,doi,authors,year
Integrating Remote Sensing and Street View Images to Quantify Urban,https://doi.org/10.3390/rs12020329,Barbierato et al. ,2020
Quantifying the green view indicator for assessing urban greening quality: An analysis based on Internet-crawling street view data,https://doi.org/10.1016/j.ecolind.2020.106192,Chen et al.,2020
Modelling and mapping eye-level greenness visibility exposure using multi-source data at high spatial resolutions,https://doi.org/10.1016/j.scitotenv.2020.143050,Labib et al.,2021
Exploring the distribution of city street greenery from eye-level: an application of Baidu Map panoramic images data,https://doi.org/10.1080/00167223.2021.2019073,Xue et al.,2021
Modelling eye-level visibility of urban green space: Optimising city-wide point-based viewshed computations through prototyping ,https://doi.org/10.5194/agile-giss-3-27-2022,Brinkmann et al.,2022
Is eye-level greening associated with the use of dockless shared bicycles?,https://doi.org/10.1016/j.ufug.2020.126690,Chen et al.,2020
Evaluating Greenery around Streets Using Baidu Panoramic Street View Images and the Panoramic Green View Index ,https://doi.org/10.3390/f10121109,Chen et al.,2019
Satisfaction with urban trees associates with tree canopy cover and tree visibility around the home,https://doi.org/10.21203/rs.3.rs-2511683/v1,"Barona, labib, et al. ",2023
A green view index for urban transportation: How much greenery do we view while moving around in cities?,https://doi.org/10.1080/15568318.2019.1672001,"Wu, Cheng, eta al.",2019
Automatic Understanding and Mapping of Regions in Cities Using Google Street View Images ,https://doi.org/10.3390/app12062971,Rangel et al-.,2022
Accessing Eye-level Greenness Visibility from Open-Source Street View Images: A methodological development and implementation in multi-city and multi-country contexts,https://doi.org/10.21203/rs.3.rs-3400487/v1,"Ilse Abril Vázquez Sánchez, SM Labib",2023
Does the Visibility of Greenery Increase Perceived Safety in Urban Areas? Evidence from the Place Pulse 1.0 Dataset,https://doi.org/10.3390/ijgi4031166,Li et al.,2015
Can you see green? Assessing the visibility of urban forests in cities,https://doi.org/10.1016/j.landurbplan.2008.12.004,Yang et al.,2009
"Evaluating Street Greenery by Multiple Indicators Using Street-Level Imagery and Satellite Images: A Case Study in Nanjing, China",https://doi.org/10.3390/f11121347,Tong et al.,2020
Daily Accessed Street Greenery and Housing Price: Measuring Economic Performance of Human-Scale Streetscapes via New Urban Data,https://doi.org/10.3390/su11061741,Yu Ye et al.,2019
Evaluating the Street Greening with the Multiview Data Fusion,https://doi.org/10.1155/2021/2793474,Sun et al.,2021
How to Systematically Evaluate the Greenspace Exposure of Residential Communities? A 3-D Novel Perspective Using UAV Photogrammetry,https://doi.org/10.3390/rs15061543,Xia et al. ,2023
Effect Modifications of Overhead-View and Eye-Level Urban Greenery on HeatMortality Associations: Small-Area Analyses Using Case Time Series Design and Different Greenery Measurements,https://doi.org/10.1289/EHP12589,Song et al.,2023
Assessing Urban Greenery by Harvesting Street View Data: A Review,https://doi.org/10.1016/j.ufug.2023.127917,Lu et al.,2023
Advanced Integration of Urban Street Greenery and Pedestrian Flow: A Multidimensional Analysis in Chengdus Central Urban District,https://doi.org/10.3390/ijgi13070254,Ma et al. ,2024
Mapping seasonal changes of street greenery using multi-temporal street-view images,https://doi.org/10.1016/j.scs.2023.104498,Han et al.,2023
Measuring visual quality of street space and its temporal variation: Methodology and its application in the Hutong area in Beijing,https://doi.org/10.1016/j.landurbplan.2018.09.015,Tang & Long,2019
Revealing spatio-temporal evolution of urban visual environments with street view imagery,https://doi.org/10.1016/j.landurbplan.2023.104802,"Liang, Zhao & Biljecki",2023
Urban form and composition of street canyons: A human-centric big data and deep learning approach,https://doi.org/10.1016/j.landurbplan.2018.12.001,Middel et al.,2019
Comparing conventional manual measurement of the green view index with modern automatic methods using google street view and semantic segmentation,https://doi.org/10.1016/j.ufug.2023.127845,Aikoh et al.,2023
How do computers see landscapes? comparisons of eye-level greenery assessments between computer and human perceptions,https://doi.org/10.1016/j.landurbplan.2022.104547,Suppakittpaisarn et al.,2022
Does street greenery always promote active travel? Evidence from Beijing,https://doi.org/10.1016/j.ufug.2020.126886,Wu et al.,2020
Assessing the visibility of urban greenery using MLS LiDAR data,https://doi.org/10.1016/j.landurbplan.2022.104662,Tang et al.,2023
Method for Applying Crowdsourced Street-Level Imagery Data to Evaluate Street-Level Greenness,https://doi.org/10.3390/ijgi12030108,Zheng & Amemiya,2023
Making residential green space exposure evaluation more accurate: A composite assessment framework that integrates objective and subjective indicators,http://dx.doi.org/10.1016/j.ufug.2024.128290,Xia et al.,2024
Automatic Assessment of Green Space Ratio in Urban Areas from Mobile Scanning Data,https://doi.org/10.3390/rs9030215,Susaki & Kubota,2017
Estimation of green space ratio for assessing urban landscapes using digital surface models and images,https://doi.org/10.1109/PRRS.2014.6914284,Susaki & Komiya,2014
Associations between community green view index and fine particulate matter from Airboxes,https://doi.org/10.1016/j.scitotenv.2024.171213,Tang et al.,2024
Associations between trees and grass presence with childhood asthma prevalence using deep learning image segmentation and a novel green view index,https://doi.org/10.1016/j.envpol.2021.117582,Yu et al.,2021
The influence path of community green exposure index on activity behavior under multi-dimensional spatial perception,https://doi.org/10.3389/fpubh.2023.1243838,Zheng et al.,2023
Assessing visual green effects of individual urban trees using airborne Lidar data,http://dx.doi.org/10.1016/j.scitotenv.2015.06.142,Chen et al.,2015
Inclusive green environment for all? An investigation of spatial access equity of urban green space and associated socioeconomic drivers in China,https://doi.org/10.1016/j.landurbplan.2023.104926,Lu et al.,2024
"Tree abundance, species richness, or species mix? Exploring the relationship between features of urban street trees and pedestrian volume in Jinan, China",https://doi.org/10.1016/j.ufug.2024.128294,Jiang et al.,2024
Beyond just green: Explaining and predicting restorative potential of urban landscapes using panorama-based metrics,https://doi.org/10.1016/j.landurbplan.2024.105044,Zhang et al.,2024
Application of an Integrated Model for Analyzing Street Greenery through Image Semantic Segmentation and Accessibility: A Case Study of Nanjing City,https://doi.org/10.3390/f15030561,Wu et al.,2024
Incorporating networks in semantic understanding of streetscapes: Contextualising active mobility decisions,https://doi.org/10.1177/23998083221138832,Yap et al.,2022
"Effects of greenery at different heights in neighbourhood streetscapes on leisure walking: a cross-sectional study using machine learning of streetscape images in Sendai City, Japan",https://doi.org/10.1186/s12942-023-00351-6,Sakamoto et al.,2023
Treepedia 2.0: Applying Deep Learning for Large-Scale Quantification of Urban Tree Cover,https://doi.org/10.1109/BigDataCongress.2018.00014,Cai et al.,2018
Toward a Computer Vision Perspective on the Visual Impact of Vegetation in Symmetries of Urban Environments,https://doi.org/10.3390/sym10120666,Samiei et al.,2018
"The more walkable, the more livable? -- can urban attractiveness improve urban vitality?",https://doi.org/10.1016/j.trpro.2021.12.042,Liang et al.,2022
"Using open data and deep learning to explore walkability in Shenzhen, China",https://doi.org/10.1016/j.trd.2023.103696,He et al.,2023
High or low? Exploring the restorative effects of visual levels on campus spaces using machine learning and street view imagery,https://doi.org/10.1016/j.ufug.2023.128087,Ma et al.,2023
Evaluating the seasonal effects of building form and street view indicators on street-level land surface temperature using random forest regression,https://doi.org/10.1016/j.buildenv.2023.110884,Chen et al.,2023
A Method for Regional Analysis Using Deep Learning Based on Big Data of Omnidirectional Images of Streets,https://doi.org/10.5194/isprs-archives-XLIII-B4-2022-545-2022,Oki & Ogawa,2022
Automatic assessment of public open spaces using street view imagery,https://doi.org/10.1016/j.cities.2023.104329,Chen & Biljecki,2023
"Associations of neighborhood greenspace, and active living environments with autism spectrum disorders: A matched case-control study in Ontario, Canada",https://doi.org/10.1016/j.envres.2024.118828,Lavigne et al.,2024
"Not just more, but more diverse: Green landscapes along urban roads may significantly reduce drivers' psychophysiological fatigue",https://doi.org/10.1016/j.trf.2024.04.009,Xu et al.,2024
Coexistence Perspectives: Exploring the impact of landscape features on aesthetic and recreational values in urban parks,https://doi.org/10.1016/j.ecolind.2024.112043,Li et al.,2024
"Impacts of street tree abundance, greenery, structure and management on residential house prices in New York City",https://doi.org/10.1016/j.ufug.2024.128288,Lin et al.,2024
"Residential greenspace exposure, particularly green window-views, is associated with improved sleep quality among older adults: Evidence from a high-density city",https://doi.org/10.1016/j.buildenv.2024.111315,Zhang et al.,2024
Using Google Street View to investigate the association between street greenery and physical activity,https://doi.org/10.1016/j.landurbplan.2018.08.029,Lu et al.,2019
"Who lives in greener neighborhoods? The distribution of street greenery and its association with residents' socioeconomic conditions in Hartford, Connecticut, USA",https://doi.org/10.1016/j.ufug.2015.07.006,Li et al. ,2015
How green are the streets? An analysis for central areas of Chinese cities using Tencent Street View,https://doi.org/10.1371/journal.pone.0171110,Long et al. ,2017
Impacts of street-visible greenery on housing prices: Evidence from a hedonic price model and a massive street view image dataset in Beijing,https://doi.org/10.3390/ijgi7030104,Zhang et al.,2018
Association between street greenery and walking behavior in older adults in Hong Kong Author links open overlay panel,https://doi.org/10.1016/j.scs.2019.101747,Yang et al.,2019
"Comparing the Normalized Difference Vegetation Index with the Google Street View Measure of Vegetation to Assess Associations between Greenness, Walkability, Recreational Physical Activity, and Health in Ottawa, Canada",https://doi.org/10.3390/ijerph15081719,Villeneuve et al.,2018
Exploring the spatial association between the distribution of temperature and urban morphology with green view index,https://doi.org/10.1371/journal.pone.0301921,Chan et al.,2024
Using google street view to reveal environmental justice: Assessing public perceived walkability in macroscale city,https://doi.org/10.1016/j.landurbplan.2023.104995,Lu et al.,2024
"Urban greenness, mixed land-use, and life satisfaction: Evidence from residential locations and workplace settings in Beijing",https://doi.org/10.1016/j.landurbplan.2022.104428,Wu et al.,2022
Does visual contact with green space impact housing prices? An integrated approach of machine learning and hedonic modeling based on the perception of green space,https://doi.org/10.1016/j.landusepol.2022.106048,Wu et al.,2022
Associations between Street-View Perceptions and Housing Prices: Subjective vs. Objective Measures Using Computer Vision and Machine Learning Techniques,https://doi.org/10.3390/rs14040891,Xu et al.,2022
Viewshed-based modelling of visual exposure to urban greenery  An efficient GIS tool for practical planning applications,https://doi.org/10.1016/j.landurbplan.2022.104395,"Cimburova, Z. & Blumentrath, S.",2022
"Dynamic greenspace exposure, individual mental health status and momentary stress level: A study using multiple greenspace measurements",https://doi.org/10.1016/j.healthplace.2024.103213,"Yu, C. & Kwan, M.-P.",2024
The visual quality of streets: A human-centred continuous measurement based on machine learning algorithms and street view images.,https://doi.org/10.1177/2399808319828734,Ye et al.,2019
Measuring human perceptions of streetscapes to better inform urban renewal: A perspective of scene semantic parsing,https://doi.org/10.1016/j.cities.2020.103086,Ma et al.,2021
Modeling restorative potential of urban environments by coupling viewscape analysis of lidar data with experiments in immersive virtual environments,https://doi.org/10.1016/j.landurbplan.2019.103704,Tabrizian et al.,2020
"Dynamic greenspace exposure and residents mental health in Guangzhou, China: From over-head to eye-level perspective, from quantity to quality",https://doi.org/10.1016/j.landurbplan.2021.104230,Wang et al.,2021
"Perceived influence of street-level visible greenness exposure in the work and residential environment on life satisfaction: Evidence from Beijing, China",https://doi.org/10.1016/j.ufug.2021.127161,Wu et al.,2021
Measuring daily accessed street greenery: A human-scale approach for informing better urban planning practices,https://doi.org/10.1016/j.landurbplan.2018.08.028,Ye et al.,2019
Associations between overhead-view and eye-level urban greenness and cycling behaviors,https://doi.org/10.1016/j.cities.2019.01.003,Lu et al.,2019
"Using deep learning to examine street view green and blue spaces and their associations with geriatric depression in Beijing, China",https://doi.org/10.1016/j.envint.2019.02.013,Helbich et al.,2019
The effect of street-level greenery on walking behavior: Evidence from Hong Kong,https://doi.org/10.1016/j.socscimed.2018.05.022,Lu et al.,2018
"Urban greenery, active school transport, and body weight among Hong Kong children",https://doi.org/10.1016/j.tbs.2020.03.001,Yang et al.,2020
Can you really see green? Assessing physical and self-reported measurements of urban greenery,https://doi.org/10.1016/j.ufug.2018.08.016,Falfan et al.,2018
Green streets ? Quantifying and mapping urban trees with street-level imagery and computer vision,https://doi.org/10.1016/j.landurbplan.2017.05.010,Seiferling et al.,2017
Quantification of urban greenery using hemisphere-view panoramas with a green cover index,https://doi.org/10.1080/20964129.2021.1929502,Zhang et al.,2021
How Much Visual Greenery Can Street Trees Generate from a Humanistic Perspective? An Attempt to Quantify the Canopy Green View Index Based on Tree Morphology,https://doi.org/10.3390/f15010088,Zhu et al.,2024
"Monitoring and mapping vegetation greenery in residential communities using street view images and a Normalized Vegetation Greenery Index: a case study in Beijing, China",https://doi.org/10.3389/ffgc.2023.1071569,Song et al.,2023
"Is greenery green? An analytical comparison between the planned, visual, and perceived green",https://doi.org/10.1177/14780771231178887,Yang et al.,2023
Evaluating street view exposure measures of visible green space for health research,https://doi.org/10.1038/s41370-018-0017-1,"Larkin, Hystad",2018
The inequalities of different dimensions of visible street urban green space provision: A machine learning approach,https://doi.org/10.1016/j.landusepol.2022.106410,Wang et al.,2022
Evaluating simulated visible greenness in urban landscapes: An examination of a midsize U.S. city,https://doi.org/10.1016/j.ufug.2023.128060,Yan et al.,2023
Childrens green walk to school: An evaluation of welfare-related disparities in the visibility of greenery among children,https://doi.org/10.1016/j.envsci.2020.05.009,"Laszkiewicz, Sikorska",2020
AUTOMATIC MEASUREMENT SYSTEM OF VISIBLE GREENERY RATIO USING AUGMENTED REALITY,https://papers.cumincad.org/data/works/att/caadria2016_703.pdf,Ding et al.,2016
Investigating pedestrian-level greenery in urban forms in a high-density city for urban planning,https://doi.org/10.1016/j.scs.2022.103755,Hua et al.,2022
Quantifying the Impact of Street Greening during Full-Leaf Seasons on Emotional Perception: Guidelines for Resident Well-Being,https://doi.org/10.3390/f15010119,Hao et al.,2024
Urban greenspace and mental health in Chinese older adults: Associations across different greenspace measures and mediating effects of environmental perceptions,https://doi.org/10.1016/j.healthplace.2022.102856,Yue et al.,2022
Moderation effect of visible urban greenery on the association between neighbourhood deprivation and subjective well-being: Evidence from Hong Kong,https://doi.org/10.1016/j.landurbplan.2022.104660,Yang et al.,2023
"Assessing the Impact of Street-View Greenery on Fear of Neighborhood Crime in Guangzhou, China",https://doi.org/10.3390/ijerph18010311,Jing et al.,2021
Urban greenery and mental wellbeing in adults: Cross-sectional mediation analyses on multiple pathways across different greenery measures,https://doi.org/10.1016/j.envres.2019.108535,Wang et al. ,2019
Connections Between Daily Greenness Exposure and Health Outcomes,https://doi.org/10.3390/ijerph17113965,Jiang et al.,2020
The Impacts of Visible Green Spaces on the Mental well-being of University Students,https://doi.org/10.1007/s12061-024-09578-7,Bai et al.,2024
Sensitivity of measuring the urban form and greenery using street-level imagery: A comparative study of approaches and visual perspectives,https://doi.org/10.1016/j.jag.2023.103385,Biljecki et al.,2023
Decoding urban green spaces: Deep learning and google street view measure greening structures,https://doi.org/10.1016/j.ufug.2023.128028,Zhang et al.,2023
Mapping Green View Index for Urban Parks with Varied Landscape Metrics and Distances toward the Chinese Eastern Railway Network,https://doi.org/10.3390/su16051977,Mo et al.,2024
Bridging the gap between pedestrian and street views for human-centric environment measurement: A GIS-based 3D virtual environment,https://doi.org/10.1016/j.landurbplan.2023.104873,Ki et al.,2023
"Establishing a Reliable Assessment of the Green View Index Based on Image Classification Techniques, Estimation, and a Hypothesis Testing Route", https://doi.org/10.3390/land12051030,Liu et al.,2023
Green transit-oriented development: Exploring the association between TOD and visible green space provision using street view data,https://doi.org/10.1016/j.jenvman.2023.118093,Wang et al.,2023
The Relation between Green Visual Index and Visual Comfort in Qingdao Coastal Streets,https://doi.org/10.3390/buildings13020457,Sun et al.,2023
Inequalities in the quality and proximity of green space exposure are more pronounced than in quantity aspect: Evidence from a rapidly urbanizing Chinese city,https://doi.org/10.1016/j.ufug.2022.127811,Zhang,2023
Dynamic real-time individual green space exposure indices and the relationship with static green space exposure indices: A study in Shenzhen,https://doi.org/10.1016/j.ecolind.2023.110557,Xie et al.,2023
Exploring non-linear and synergistic effects of green spaces on active travel using crowdsourced data and interpretable machine learning,https://doi.org/10.1016/j.tbs.2023.100673,Yang et al.,2023
"Association between urban green space and postpartum depression, and the role of physical activity: a retrospective cohort study in Southern California",https://doi.org/10.1016/j.lana.2023.10046,Sun et al.,2023
Using machine learning to examine street green space types at a high spatial resolution: Application in Los Angeles County on socioeconomic disparities in exposure,https://doi.org/10.1016/j.scitotenv.2021.147653,Sun et al.,2021
Assessing street-level urban greenery using Google Street View and a modified green view index,https://doi.org/10.1016/j.ufug.2015.06.006,Li et al. ,2015
Analyzing the effects of Green View Index of neighborhood streets on walking time using Google Street View and deep learning,https://doi.org/10.1016/j.landurbplan.2020.103920,Ki et al.,2021
View-based greenery: A three-dimensional assessment of city buildings green visibility using Floor Green View Index,d,Yu et al.,2016
Examining the spatial distribution and temporal change of the green view index in New York City using Google Street View images and deep learning,https://doi.org/10.1177/2399808320962511,Li,2021
How Green Are the Streets Within the Sixth Ring Road of Beijing? An Analysis Based on Tencent Street View Pictures and the Green View Index,https://doi.org/10.3390/ijerph15071367,Dong et al. ,2018
How do street attributes affect willingness-to-walk? City-wide pedestrian route choice analysis using big data from Boston and San Francisco,https://doi.org/10.1016/j.tra.2022.06.007,Basu & Sevtsuk,2022
Development of a system for assessing the quality of urban street-level greenery using street view images and deep learning,https://doi.org/10.1016/j.ufug.2021.126995,Xia et al. ,2021
Mapping trees along urban street networks with deep learning and street-level imagery,https://doi.org/10.1016/j.isprsjprs.2021.01.016,Lumnitz et al.,2021
"The distribution of greenspace quantity and quality and their association with neighbourhood socioeconomic conditions in Guangzhou, China: A new approach using deep learning method and street view images",https://doi.org/10.1016/j.scs.2020.102664,Wang et al.,2021
Quantification through deep learning of sky view factor and greenery on urban streets during hot and cool seasons,https://doi.org/10.1016/j.landurbplan.2022.104679,Chiang et al. ,2023
Utilizing the green view index to improve the urban street greenery index system: A statistical study using road patterns and vegetation structures as entry points,https://doi.org/10.1016/j.landurbplan.2023.104780,Zhu et al.,2023
How visible street greenery moderates traffic noise to improve acoustic comfort in pedestrian environments,https://doi.org/10.1016/j.landurbplan.2023.104839,Ren et al. ,2023
Harnessing multiple data sources and emerging technologies for comprehensive urban green space evaluation,https://doi.org/10.1016/j.cities.2023.104562,Hu et al. ,2023
Does greenness bring more green travelling? Evidence from free-floating bike-sharing in Beijing,https://www.sciencedirect.com/science/article/pii/S0966692323000583,Guo et al. ,2023
Do environmental attitudes and personal characteristics influence how people perceive their exposure to green spaces?,https://doi.org/10.1016/j.landurbplan.2024.105080,Rieves et al.,2024
Socioecological justice in urban street greenery based on green view index-A case study within the Fuzhou Third Ring Road,https://doi.org/10.1016/j.ufug.2024.128313,Huang et al. ,2024
Urban overall and visible greenness and diabetes among older adults in China,https://doi.org/10.1016/j.landurbplan.2023.104881,Hu et al.,2023
Vegetation color exposure differences at the community and individual levels: An explanatory framework based on the neighborhood effect averaging problem,https://doi.org/10.1016/j.ufug.2023.128001,Xu et al. ,2023
"Local color and morphological image feature based vegetation identification and its application to human environment street view vegetation mapping, or how green is our county?",https://doi.org/10.1080/10095020.2020.1805367,Lauko et al.,2020
Cant see the wood for the trees? An assessment of street view- and satellite-derived greenness measures in relation to mental health,https://doi.org/10.1016/j.landurbplan.2021.104181,Helbich et al. ,2021
Spatio-temporal monitoring of urban street-side vegetation greenery using Baidu Street View images,https://doi.org/10.1016/j.ufug.2022.127617,Yu et al.,2022
Association between eye-level greenness and lung function in urban Chinese children,https://doi.org/10.1016/j.envres.2021.111641,Yu et al. ,2021
"Visible green space predicts emotion: Evidence from social media and street view data (DONE TWICE, OTHER ONE ROW 12)",https://doi.org/10.1016/j.apgeog.2022.102803,Wang et al. ,2022
 Standardized Green View Index and Quantification of Different Metrics of Urban Green Vegetation ,https://doi.org/10.3390/su12187434,Kumakoshi et al.,2020
"Spatial differentiation characteristics and influencing factors of the green view index in urban areas based on street view images: A case study of Futian District, Shenzhen, China",https://doi.org/10.1016/j.ufug.2024.128219,Zhang & Zeng,2024
"Association between urban environment and mental health in Brussels, Belgium",https://doi.org/10.1186%2Fs12889-021-10557-7,Pelgrims et al.,2021
How street greenery facilitates active travel for university students,https://doi.org/10.1016/j.jth.2022.101393,Bai et al. ,2022
A data-informed analytical approach to human-scale greenway planning: Integrating multi-sourced urban data with machine learning algorithms,https://doi.org/10.1016/j.ufug.2020.126871,Tang et al. ,2020
 BGVI: A New Index to Estimate Street-Side Greenery Using Baidu Street View Image ,https://doi.org/10.3390/f10010003,Yu et al. ,2018
Association of street greenery and physical activity in older adults: A novel study using pedestrian-centered photographs,https://doi.org/10.1016/j.ufug.2020.126789,He et al. ,2020
Health and the built environment in United States cities: measuring associations using Google Street View-derived indicators of the built environment,https://doi.org/10.1186/s12889-020-8300-1,Keralis et al. ,2020
How are Neighborhood and Street-Level Walkability Factors Associated with Walking Behaviors? A Big Data Approach Using Street View Images,https://doi.org/10.1177/00139165211014609,Koo et al.,2021
Examining the association between the built environment and pedestrian volume using street view images,https://doi.org/10.1016/j.cities.2022.103734,Chen et al.,2022
Spatially Varying Effects of Street Greenery on Walking Time of Older Adults,https://doi.org/10.3390/ijgi10090596,Yang et al.,2021
"The green view dataset for the capital of Finland, Helsinki",https://doi.org/10.1016/j.dib.2020.105601,Toikka et al.,2020
How to best map greenery from a human perspective? Comparing computational measurements with human perception,https://doi.org/10.3389/frsc.2023.1160995,Torkko et al.,2023
Near Real-Time Semantic View Analysis of 3D City Models in Web Browser,https://doi.org/10.3390/ijgi10030138,Virtanen et al.,2021
"An evaluation of urban green space in Shanghai, China, using eye tracking",https://doi.org/10.1016/j.ufug.2020.126903,Li et al.,2020
"Relationship between eye-level greenness and cycling frequency around metro stations in Shenzhen, China: A big data approach",https://doi.org/10.1016/j.scs.2020.102201,Wang et al. ,2020
The effect of eye-level street greenness exposure on walking satisfaction: The mediating role of noise and PM2.5,https://doi.org/10.1016/j.ufug.2022.127752,Song et al.,2022
Effect Modifications of Overhead-View and Eye-Level Urban Greenery on HeatMortality Associations: Small-Area Analyses Using Case Time Series Design and Different Greenery Measurements,https://doi.org/10.1289/EHP12589,Song et al.,2023
